longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity,room_per_household,room_per_capita,bed_room_ratio,income_per_capita,age_binned_custom,distance_to_LA,distance_to_silicon_valey
-119.79,36.73,52.0,1.975,47500.0,INLAND,2.8,0.6,0.2,0.0,Old,328.62194112828587,214.46564633477834
-122.21,37.77,43.0,2.2604,100000.0,NEAR BAY,3.7,1.2,0.3,0.0,Old,546.0894392447898,44.539022317997066
-118.04,33.87,17.0,6.299,285800.0,<1H OCEAN,6.5,1.7,0.2,0.0,New,27.620821336858896,533.5070286216478
-118.28,34.06,17.0,1.7199,175000.0,<1H OCEAN,2.5,0.8,0.5,0.0,New,3.461242462659151,503.012485224846
-119.81,36.73,50.0,2.2206,59200.0,INLAND,4.6,1.3,0.3,0.0,Old,329.40241862689237,212.79391246277902
-117.79,33.8,11.0,6.67,283200.0,<1H OCEAN,6.5,2.4,0.2,0.0,New,50.4227905412863,554.8451449818843
-117.8,33.81,14.0,8.847,388700.0,<1H OCEAN,8.1,2.1,0.1,0.0,New,49.03783948351335,553.402377434103
-121.26,38.69,17.0,5.2586,137000.0,INLAND,6.9,2.2,0.2,0.0,New,581.3860143335606,160.63097393327615
-122.27,37.97,10.0,6.0666,272400.0,NEAR BAY,6.5,2.1,0.1,0.0,New,566.1959186820968,67.31460402780162
-121.94,37.28,18.0,3.6294,240000.0,<1H OCEAN,3.5,2.2,0.3,0.0,New,490.07754220709126,15.835824940411626
-121.9,37.44,4.0,5.0821,265500.0,<1H OCEAN,4.0,1.9,0.2,0.0,New,500.5748447732765,15.111528531251887
-118.15,34.05,31.0,3.5089,305800.0,<1H OCEAN,4.5,1.7,0.2,0.0,Old,8.654708340287904,511.88602353098446
-117.5,33.96,12.0,4.2985,139200.0,INLAND,5.7,1.6,0.2,0.0,New,69.45852532163147,560.9868123305911
-121.33,38.64,27.0,2.4342,119500.0,INLAND,4.5,1.9,0.2,0.0,Medium,579.4943476369427,152.99828671393908
-115.99,33.4,15.0,2.0109,54300.0,INLAND,7.1,3.8,0.3,0.0,New,221.0394037727726,706.5172305954442
-117.09,32.68,20.0,2.0114,104900.0,NEAR OCEAN,3.6,1.1,0.3,0.0,Medium,186.25051597766202,691.2980356110104
-118.14,34.7,12.0,1.2532,102100.0,INLAND,3.5,1.9,0.3,0.0,New,72.49013195637652,462.0323091744698
-120.9,38.2,16.0,2.0472,93200.0,INLAND,5.9,2.4,0.2,0.0,New,518.5906558939771,136.1099156577817
-121.51,38.5,25.0,5.0371,180200.0,INLAND,6.4,2.5,0.2,0.0,Medium,574.1017428191492,132.5281328348164
-117.32,34.14,32.0,1.8438,66600.0,INLAND,5.1,1.2,0.2,0.0,Old,85.79387473029769,559.6582706295452
-117.34,34.13,29.0,0.7069,70300.0,INLAND,3.1,1.0,0.3,0.0,Old,83.8439247655166,559.0127284016015
-121.53,38.61,5.0,3.6788,178800.0,INLAND,5.0,2.8,0.2,0.0,New,585.4256671048952,143.38442661596898
-118.27,34.08,38.0,2.5521,157500.0,<1H OCEAN,2.9,0.8,0.4,0.0,Old,3.924722090107416,501.97478349437677
-120.84,38.77,11.0,4.825,184600.0,INLAND,6.4,2.5,0.2,0.0,New,572.9025598520707,186.9691316221826
-120.38,36.76,12.0,1.4038,54300.0,INLAND,3.8,0.9,0.3,0.0,New,357.6196653159496,164.62370241102795
-118.2,33.93,41.0,2.6339,145700.0,<1H OCEAN,3.8,0.9,0.2,0.0,Old,14.14327659933303,518.713162744904
-121.52,38.57,43.0,2.89,86200.0,INLAND,5.2,2.3,0.2,0.0,Old,581.1795410817346,139.48889136096676
-121.09,38.68,15.0,4.7083,213300.0,INLAND,7.9,2.7,0.1,0.0,New,573.4664320218061,166.71997178455715
-117.54,33.82,6.0,4.125,216700.0,INLAND,7.2,2.7,0.1,0.1,New,69.9722511555375,569.269720568247
-121.33,37.98,9.0,5.143,176500.0,INLAND,6.1,2.1,0.2,0.0,New,516.9755339173876,91.8830106494333
-119.29,36.53,33.0,1.625,50300.0,INLAND,4.5,0.9,0.2,0.0,Old,290.9051264195716,264.1920636690315
-119.83,36.8,24.0,3.8571,90100.0,INLAND,5.1,2.4,0.2,0.0,Medium,337.17023539604304,208.48061306393143
-118.12,34.09,25.0,2.6981,208000.0,<1H OCEAN,3.9,1.3,0.3,0.0,Medium,12.163959729193273,510.5139946700612
-118.31,33.67,42.0,5.3074,401900.0,NEAR OCEAN,5.4,2.1,0.2,0.0,Old,42.83519783211921,534.3486785598182
-118.24,34.11,50.0,2.7679,178800.0,<1H OCEAN,5.0,1.2,0.2,0.0,Old,6.4204870226815265,501.36762816436885
-122.27,38.31,44.0,2.9054,155200.0,NEAR BAY,5.2,2.2,0.2,0.0,Old,595.1665804459669,104.08559707411281
-117.62,33.77,43.0,4.6369,186400.0,<1H OCEAN,4.4,2.1,0.2,0.0,Old,65.62622830872925,568.0764195277461
-121.95,37.28,52.0,4.0208,262500.0,<1H OCEAN,5.4,2.1,0.2,0.0,Old,490.6957328810565,15.267695954864234
-117.88,33.87,21.0,3.2083,145300.0,<1H OCEAN,4.2,1.3,0.3,0.0,Medium,39.22308173554265,543.4860895739756
-117.68,35.63,18.0,6.0653,105300.0,INLAND,6.6,2.4,0.1,0.0,New,182.47184684110977,437.89459091314677
-121.92,37.3,35.0,3.6053,345800.0,<1H OCEAN,4.5,2.1,0.2,0.0,Old,490.4431842275166,15.58044329590527
-118.85,34.21,29.0,3.4773,206700.0,<1H OCEAN,5.5,1.6,0.2,0.0,Old,58.6017855272759,456.3961580698945
-122.41,37.6,31.0,4.1364,412000.0,NEAR OCEAN,5.4,2.3,0.2,0.0,Old,544.5670729801253,39.0891767567241
-117.59,33.91,7.0,5.4872,203400.0,INLAND,6.8,2.0,0.1,0.0,New,62.430564739402186,558.9307421031905
-121.86,37.32,13.0,4.3621,173400.0,<1H OCEAN,4.8,1.2,0.2,0.0,New,488.39393716200107,19.034244952476012
-118.02,33.65,38.0,2.8352,408300.0,NEAR OCEAN,6.4,3.4,0.3,0.0,Old,49.181396472176715,553.1232893042152
-122.43,37.71,52.0,4.0234,266500.0,NEAR BAY,5.0,1.3,0.2,0.0,Old,554.50139903449,48.62824164619579
-118.15,33.97,33.0,2.4071,170500.0,<1H OCEAN,4.4,1.0,0.2,0.0,Old,12.57177861720968,518.4580707027652
-122.26,37.88,52.0,2.944,338900.0,NEAR BAY,4.1,1.5,0.3,0.0,Old,558.117087577035,57.51046468975092
-117.02,32.7,22.0,4.1837,125400.0,NEAR OCEAN,5.7,1.5,0.2,0.0,Medium,188.3011226069267,693.796189773877
-118.26,33.94,41.0,1.65,94200.0,<1H OCEAN,3.9,1.1,0.3,0.0,Old,12.536264338658471,514.2345773739142
-118.14,34.19,49.0,3.7222,237000.0,INLAND,5.8,2.3,0.2,0.0,Old,18.03233253853549,501.19311445865975
-121.36,38.67,5.0,2.2339,116600.0,INLAND,4.3,1.8,0.3,0.0,New,583.6790213925609,154.96565362830444
-119.9,36.94,11.0,4.277,98500.0,INLAND,6.1,1.8,0.2,0.0,New,353.87681083377447,197.9557855485787
-121.85,38.0,26.0,4.2647,133400.0,INLAND,5.9,1.9,0.2,0.0,Medium,545.3640152619528,70.40194585505347
-120.85,37.06,31.0,1.5479,82000.0,INLAND,4.1,1.5,0.2,0.0,Old,408.865875574194,113.16071209827685
-119.81,36.71,25.0,1.5625,52800.0,INLAND,5.6,1.3,0.2,0.0,Medium,327.4098954550114,213.58953602236542
-118.21,34.08,26.0,1.9495,173200.0,<1H OCEAN,3.2,0.8,0.3,0.0,Medium,4.380306750837763,505.6917961518803
-121.65,39.13,11.0,2.6842,89100.0,INLAND,5.7,2.1,0.2,0.0,New,640.5126489125473,196.6800054132595
-119.74,34.44,26.0,3.4047,294500.0,NEAR OCEAN,4.5,2.3,0.2,0.0,Medium,144.3904087080478,388.1879665206302
